GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04119	124.93	124.16	71.58	73.01	118.51	112.46	113.53	120.99	126.42	113.06	92.90	94.02	105.16	111.36	109.44	117.45	141.45	159.67	146.68	121.83	132.51	126.07	132.97	111.60	123.66	147.11	98.04	129.85	106.57	30.87	72.11	122.81	135.54	119.07	109.01	98.06	104.85	120.75	95.03	128.46	149.91	133.39	96.77	91.10	110.76	117.43	98.54	147.74
QG37_04120	155.02	152.61	79.92	63.65	132.23	130.76	124.63	129.59	131.97	118.63	116.00	110.02	100.78	114.44	102.54	121.63	162.03	173.99	152.28	131.08	127.79	141.53	162.37	122.85	157.39	176.91	107.05	169.76	123.03	37.27	84.65	129.08	137.01	109.18	103.65	73.18	105.04	111.04	108.47	129.59	111.60	131.28	107.83	98.66	113.33	133.42	101.11	154.91
QG37_04121	135.00	132.76	77.13	65.80	126.95	120.41	109.28	142.04	138.48	123.07	108.50	108.47	98.66	114.85	110.55	113.93	155.89	163.25	140.00	122.16	149.85	134.30	154.71	110.25	133.24	173.63	102.95	132.81	124.61	31.03	87.23	144.58	138.34	133.30	106.93	90.29	97.03	119.96	97.76	137.72	143.43	130.79	95.04	106.58	126.03	116.55	112.80	147.92
QG37_04122	112.61	116.30	69.81	52.50	101.31	113.80	107.12	107.27	108.18	92.14	82.39	87.51	88.66	100.17	93.26	100.85	114.51	139.73	122.46	105.20	97.76	113.81	121.64	95.55	102.12	125.77	92.59	101.60	87.58	18.80	62.34	115.33	116.24	109.25	96.89	83.58	94.28	95.38	90.82	112.56	113.06	124.00	70.87	75.81	110.98	109.57	99.06	121.54
QG37_04123	124.58	134.14	76.14	61.56	108.57	122.78	122.60	132.27	154.64	132.09	105.83	123.40	117.21	112.92	109.40	127.92	148.98	157.17	148.91	121.85	105.69	134.49	148.94	102.28	118.77	159.24	99.66	144.37	109.67	26.83	81.11	142.37	139.36	121.25	122.19	98.02	110.30	121.39	94.54	123.84	121.99	130.16	98.15	82.66	106.04	119.06	106.06	166.06
QG37_04124	118.27	114.60	67.67	60.80	103.12	98.88	102.46	98.99	110.69	95.01	86.89	77.87	79.27	109.45	91.37	118.38	121.98	121.39	130.06	96.72	107.61	106.63	109.72	114.94	110.20	125.12	81.09	125.19	92.74	19.10	70.06	102.12	118.04	101.42	86.32	96.64	91.45	95.70	86.87	94.80	131.98	106.42	79.79	83.12	101.89	98.79	79.67	130.01
QG37_04125	133.26	121.06	63.94	83.61	119.55	102.46	92.13	88.27	126.01	94.59	85.63	81.28	87.92	121.07	88.08	95.11	126.51	116.56	109.43	115.36	109.75	110.26	117.87	111.82	105.42	129.02	102.23	125.06	103.06	23.07	73.68	114.91	126.37	100.66	97.06	91.69	94.80	90.39	92.31	103.76	141.94	96.35	76.94	94.81	109.84	101.97	95.08	135.74
QG37_04126	107.04	114.71	66.05	68.83	101.68	100.12	96.35	112.98	114.80	94.74	82.01	97.43	77.92	99.37	86.64	99.22	121.99	146.92	113.42	102.15	101.08	105.00	125.37	102.92	109.17	120.62	88.27	112.33	72.60	24.31	74.25	114.71	126.79	108.17	111.53	81.61	108.24	111.40	98.07	94.90	128.38	123.13	85.79	91.22	91.82	106.42	98.02	134.89
QG37_04127	101.80	148.84	75.21	78.56	117.02	119.69	97.44	121.11	128.26	86.50	85.98	83.70	105.07	119.67	85.99	138.93	138.94	149.26	120.91	116.67	107.76	114.07	141.36	94.02	149.98	135.31	101.99	140.24	96.18	35.71	61.22	108.57	127.74	100.31	108.01	83.46	100.81	115.46	80.97	136.38	147.50	139.38	95.42	78.10	92.83	115.56	85.74	105.79
QG37_04128	86.34	155.79	78.71	70.48	101.26	104.28	105.62	111.27	124.40	116.73	95.63	71.99	98.62	99.18	102.53	133.05	145.64	148.35	155.66	107.76	127.71	128.06	153.41	93.52	143.97	171.45	115.36	165.16	126.94	37.95	66.05	118.47	130.45	135.29	127.04	91.02	104.05	99.73	91.77	126.43	129.26	119.75	98.13	88.96	126.72	124.13	89.67	96.81
QG37_04129	90.82	94.14	53.80	57.10	90.48	89.23	81.38	82.00	99.64	82.21	68.77	78.06	70.13	81.86	87.38	81.82	111.13	125.82	116.14	93.28	99.35	88.74	114.74	75.42	105.77	114.53	84.63	107.26	77.07	22.07	53.04	97.28	101.30	95.59	94.69	73.91	76.90	91.10	73.31	102.42	119.89	100.00	82.71	80.69	94.92	103.37	83.31	115.60
QG37_04130	96.45	107.00	48.44	58.08	109.38	86.45	103.15	104.79	102.71	93.21	87.95	88.71	89.29	92.00	80.41	102.38	126.25	139.90	132.46	100.71	110.83	109.61	127.96	87.84	114.60	117.91	84.41	116.87	88.36	26.46	64.24	102.54	118.57	108.96	98.44	82.22	87.72	107.08	78.89	92.99	111.17	115.26	68.88	75.43	104.66	92.16	93.32	130.63
QG37_04131	82.23	86.23	39.18	42.59	71.55	80.36	62.33	74.43	74.10	87.56	54.50	60.77	60.26	77.48	71.84	72.63	85.09	91.76	90.97	65.77	69.91	65.78	94.98	69.80	74.81	65.59	56.99	93.19	57.89	23.21	51.41	76.32	93.73	77.57	49.96	42.79	65.25	57.64	43.73	59.83	60.68	65.13	44.78	46.81	53.20	54.53	51.50	69.64
